best_callsign,best_field_strength,best_distance_km,stations_above_threshold,covered,city,state_id,lat,lng,population,county_name
WXK-71,78.25,15.77,2,True,Warner Robins,GA,32.5981,-83.6528,148686.0,Houston
WXK-52,72.52,14.59,1,True,Dalton,GA,34.7688,-84.9711,87688.0,Whitfield
KEC-80,63.04,15.83,1,True,Sandy Springs,GA,33.9366,-84.3703,105703.0,Fulton
KEC-80,62.89,36.92,2,True,Jackson,GA,33.2913,-83.968,5244.0,Butts
KEC-80,64.45,31.79,1,True,Holly Springs,GA,34.1678,-84.4856,11281.0,Cherokee
WWH-23,79.33,14.54,1,True,Villa Rica,GA,33.7305,-84.9168,15201.0,Carroll
KEC-85,69.9,17.57,1,True,Rincon,GA,32.2936,-81.2357,13617.0,Effingham
KEC-80,77.34,17.52,2,True,Suwanee,GA,34.0506,-84.0687,19421.0,Gwinnett
WXK-54,66.92,18.9,2,True,Thomson,GA,33.4666,-82.4993,8414.0,McDuffie
KXI-76,89.44,2.52,2,True,La Grange,GA,33.0276,-85.0383,36270.0,Troup
KEC-80,77.85,17.72,2,True,Forest Park,GA,33.6209,-84.3592,19731.0,Clayton
KEC-80,57.42,28.77,1,True,Austell,GA,33.8202,-84.6453,7139.0,Cobb
WWH-23,51.55,20.49,1,True,Dallas,GA,33.9153,-84.8416,13108.0,Paulding
KEC-80,79.89,12.26,1,True,Peachtree Corners,GA,33.9668,-84.2321,42773.0,Gwinnett
WXM-65,91.59,1.97,1,True,Baxley,GA,31.7652,-82.3512,5612.0,Appling
WXK-54,66.53,19.52,3,True,Waynesboro,GA,33.0909,-82.0146,5763.0,Burke
WXJ-30,58.92,19.73,1,True,Montezuma,GA,32.2997,-84.0246,6266.0,Macon
KHB-39,55.09,38.67,1,True,Kingsland,GA,30.8193,-81.7219,16720.0,Camden
WXK-75,57.52,25.79,1,True,Douglas,GA,31.5074,-82.8543,14323.0,Coffee
KEC-80,63.25,30.89,1,True,Fayetteville,GA,33.4497,-84.4703,17519.0,Fayette
KEC-80,82.69,10.13,1,True,Doraville,GA,33.9072,-84.2711,10501.0,DeKalb
WXK-56,68.74,7.97,1,True,Athens,GA,33.9508,-83.3689,137582.0,Clarke
KEC-80,70.41,27.77,3,True,Cumming,GA,34.2068,-84.1339,6225.0,Forsyth
KEC-80,72.93,26.98,2,True,Lovejoy,GA,33.4422,-84.3178,6367.0,Clayton
WXJ-72,61.07,15.94,2,True,LaFayette,GA,34.7088,-85.2815,7403.0,Walker
KEC-85,58.78,21.82,1,True,Garden City,GA,32.0867,-81.1773,8900.0,Chatham
KEC-80,67.69,30.24,2,True,Hampton,GA,33.3834,-84.2853,7532.0,Henry
KEC-80,88.13,5.41,1,True,Clarkston,GA,33.8138,-84.2381,12742.0,DeKalb
KEC-80,76.08,21.76,2,True,Smyrna,GA,33.864,-84.5169,56664.0,Cobb
KWN-50,61.41,25.47,2,True,Albany,GA,31.5776,-84.1762,91284.0,Dougherty
WXJ-31,76.11,18.41,2,True,Griffin,GA,33.2418,-84.2747,22928.0,Spalding
KEC-80,80.61,12.9,1,True,Conyers,GA,33.6645,-83.9967,15919.0,Rockdale
KHB-39,60.67,33.19,1,True,Saint Marys,GA,30.7567,-81.5722,36587.0,Camden
KEC-80,98.96,1.58,2,True,Stone Mountain,GA,33.8037,-84.172,6328.0,DeKalb
KEC-80,87.55,5.8,1,True,Lilburn,GA,33.8887,-84.1379,12675.0,Gwinnett
WXK-52,54.89,40.96,2,True,Cartersville,GA,34.1631,-84.8007,55195.0,Bartow
WXJ-53,77.62,9.93,2,True,Dahlonega,GA,34.5303,-83.9796,5909.0,Lumpkin
WXK-52,47.04,24.57,0,False,Jasper,GA,34.4711,-84.4495,6126.0,Pickens
WXK-53,65.32,18.65,2,True,Cairo,GA,30.8789,-84.2051,9378.0,Grady
WXK-71,56.56,25.57,1,True,Perry,GA,32.4713,-83.7282,16200.0,Houston
WXJ-53,73.96,15.2,5,True,Gainesville,GA,34.2903,-83.8299,154859.0,Hall
KEC-80,66.02,20.91,2,True,East Point,GA,33.6696,-84.47,35471.0,Fulton
KEC-80,76.05,21.46,3,True,College Park,GA,33.6385,-84.4597,15035.0,Fulton
WWH-39,86.57,3.55,1,True,Brunswick,GA,31.145,-81.474,54213.0,Glynn
KXI-28,114.8,0.24,1,True,Sandersville,GA,32.9827,-82.8093,7026.0,Washington
WXM-32,76.47,10.88,1,True,Columbus,GA,32.51,-84.8771,263737.0,Muscogee
WXJ-31,69.41,25.0,4,True,Forsyth,GA,33.0347,-83.938,5264.0,Monroe
WXM-32,66.88,17.74,1,True,Cusseta,GA,32.347,-84.787,10922.0,Chattahoochee
WXK-53,70.31,21.73,2,True,Thomasville,GA,30.8394,-83.9782,24678.0,Thomas
KWN-50,70.21,18.2,1,True,Tifton,GA,31.4624,-83.5205,24463.0,Tift
KXI-77,91.99,3.44,1,True,Eastman,GA,32.1973,-83.1714,6290.0,Dodge
KEC-80,80.29,13.39,3,True,Lawrenceville,GA,33.9524,-83.993,30782.0,Gwinnett
WXK-53,58.06,31.94,2,True,Bainbridge,GA,30.9046,-84.5722,11713.0,Decatur
WXJ-31,85.94,6.98,1,True,Thomaston,GA,32.8907,-84.3272,14089.0,Upson
WXK-53,83.53,9.21,1,True,Camilla,GA,31.2337,-84.2088,6692.0,Mitchell
KEC-85,59.33,21.74,1,True,Springfield,GA,32.3641,-81.3079,5151.0,Effingham
KEC-80,52.38,24.8,1,True,Milton,GA,34.1353,-84.3138,38411.0,Fulton
KEC-80,73.08,22.56,1,True,Riverdale,GA,33.5645,-84.4098,16258.0,Clayton
WWH-31,68.17,13.83,1,True,Adel,GA,31.1316,-83.4249,7014.0,Cook
KEC-80,76.1,20.06,1,True,Roswell,GA,34.0391,-84.3513,94598.0,Fulton
KEC-80,77.61,18.19,1,True,Hapeville,GA,33.6609,-84.4093,6627.0,Fulton
KEC-74,75.9,20.69,1,True,Brownsburg,IN,39.833,-86.3828,25408.0,Hendricks
WXM-98,52.8,22.31,1,True,Wabash,IN,40.8046,-85.831,10015.0,Wabash
KIH-43,83.01,9.78,1,True,Charlestown,IN,38.427,-85.6677,7438.0,Clark
KEC-74,70.93,23.61,1,True,Whitestown,IN,39.9704,-86.3607,6590.0,Boone
KEC-74,36.92,53.11,0,False,Batesville,IN,39.2974,-85.2139,7922.0,Ripley
WXJ-58,85.2,7.59,1,True,Huntertown,IN,41.2129,-85.1764,5286.0,Allen
KEC-74,82.53,10.31,2,True,McCordsville,IN,39.9036,-85.923,6485.0,Hancock
WXJ-57,69.49,19.08,2,True,Goshen,IN,41.5741,-85.8304,33034.0,Elkhart
KWO-39,71.36,26.57,3,True,Griffith,IN,41.5279,-87.424,16252.0,Lake
KIH-43,85.56,7.27,1,True,Jeffersonville,IN,38.3377,-85.7026,47124.0,Clark
KEC-74,60.93,30.15,1,True,Lebanon,IN,40.0318,-86.455,15713.0,Boone
KWO-39,74.0,19.55,3,True,Hammond,IN,41.617,-87.4908,77134.0,Lake
KXI-47,70.06,18.27,3,True,Terre Haute,IN,39.4654,-87.3763,92841.0,Vigo
KIH-43,51.27,19.19,2,True,Corydon,IN,38.2132,-86.1259,5578.0,Harrison
KJY-62,89.06,4.16,2,True,LaPorte,IN,41.6077,-86.7137,21732.0,LaPorte
WWG-73,66.88,19.52,2,True,Scottsburg,IN,38.6862,-85.7839,11326.0,Scott
KWO-39,72.25,23.91,3,True,Munster,IN,41.5468,-87.5037,22825.0,Lake
KHB-52,104.77,0.45,2,True,Richmond,IN,39.8318,-84.8904,42759.0,Wayne
WXM-98,87.98,2.66,2,True,Gas City,IN,40.4897,-85.5984,5874.0,Grant
WWG-73,66.59,17.44,2,True,Columbus,IN,39.2094,-85.9178,58406.0,Bartholomew
WWG-73,102.3,1.05,1,True,Seymour,IN,38.9474,-85.8914,22918.0,Jackson
